id,clee,nom_estab,raz_soc,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,numero_ext,numero_int,nomb_asent,cod_postal,cve_ent,entidad,cve_mun,municipio,telefono,correoelec,sitio_web,latitud,longitud,fecha_alta,rfc,representante_legal,cargo_representante,correo_directo,telefono_directo
1,0154160000001,EMPAQUES ESTRATEGICA,EMPAQUES ESTRATEGICA S.C.,5416,Servicios de consultoría en administración y gestión empresarial,31 a 50 personas,Boulevard,Patriotismo,3178,,Polanco,01436,01,Aguascalientes,013,Aguascalientes,9697779100,contacto@empaquesestrategic.com.mx,https://www.empaquesestrategic.com.mx,18.933591,-99.03449,2024-01-15,EME970416MIQ,Rodrigo Morales,Director de Finanzas,rmorales@empaquesestrategic.com.mx,+529665674980
2,2132510000002,EMPAQUES ESTRATEGICA,EMPAQUES ESTRATEGICA S. DE R.L. DE C.V.,3251,Fabricación de productos químicos básicos y resinas sintéticas,51 a 100 personas,Boulevard,Adolfo López Mateos,1013,,Parque Industrial CIVAC,21217,21,Puebla,001,Puebla,9443319580,contacto@empaquesestrategic.mx,https://www.empaquesestrategic.mx,23.936534,-104.6578,2024-01-15,EME950609HQO,Sofia Martínez,Directora de Recursos Humanos,smartínez@empaquesestrategic.mx,+529481643963
3,2133630000003,CONSULTORES DEL NORTE,CONSULTORES DEL NORTE S. DE R.L. DE C.V.,3363,Fabricación de equipo de transporte y autopartes,251 y más personas,Carretera,Cuauhtémoc,2838,,Del Valle,21538,21,Puebla,008,Puebla,9015516188,contacto@consultoresdelnort.com,https://www.consultoresdelnort.com,24.409381,-97.121216,2024-01-15,COD120616KCB,Claudia López,Director de Finanzas,clópez@consultoresdelnort.com,+529021622155
4,0146620000004,TRANSFORMADORA NACIONAL,TRANSFORMADORA NACIONAL S.A. DE C.V.,4662,Comercio al por mayor de artículos de ferretería y herramientas,0 a 5 personas,Calle,Juárez,1724,Piso 4,San Rafael,01806,01,Aguascalientes,007,Jesús María,7070925257,contacto@transformadoranaci.com,https://www.transformadoranaci.com,15.836982,-104.550443,2024-01-15,TRN200902QXT,Hector Alarcón,Director de Operaciones,halarcón@transformadoranaci.com,+527062318836
5,0132610000005,PLASTICOS INDUSTRIAL 63,PLASTICOS INDUSTRIAL 63 S.A.B. DE C.V.,3261,Fabricación de productos de plástico y polímeros para empaque,31 a 50 personas,Circuito,Revolución,865,Piso 12,Parque Industrial CIVAC,01836,01,Aguascalientes,013,Aguascalientes,8928565491,contacto@plasticosindustria.com,https://www.plasticosindustria.com,23.182098,-97.157539,2024-01-15,PLI130602D0C,Patricia Garza,Director General,pgarza@plasticosindustria.com,+528996325809
6,3133230000006,CONSTRUCCIONES DE LAS AMERICAS,CONSTRUCCIONES DE LAS AMERICAS S.A. DE C.V.,3323,Fabricación de estructuras metálicas y pailería industrial,0 a 5 personas,Circuito,Industria Militar,3311,Piso 8,Industrial Vallejo,31436,31,Yucatán,017,Valladolid,8992783385,contacto@construccionesdela.com.mx,https://www.construccionesdela.com.mx,19.964997,-101.989892,2024-01-15,COD090908CR9,Miguel Valenzuela,Director General,mvalenzuela@construccionesdela.com.mx,+528937308554
7,0546590000007,AUTOMOTRIZ INTERNACIONAL,AUTOMOTRIZ INTERNACIONAL S.A. DE C.V.,4659,Comercio al por mayor de maquinaria y equipo industrial,51 a 100 personas,Boulevard,Universidad,2311,Piso 14,Parque Industrial Benito Juárez,05850,05,Coahuila,017,Saltillo,6669134342,contacto@automotrizinternac.com,https://www.automotrizinternac.com,23.495784,-96.00318,2024-01-15,AUI001126SV8,Javier Vega,Directora de Recursos Humanos,jvega@automotrizinternac.com,+526663126557
8,2648410000008,EQUIPOS Y SISTEMAS DE LAS AMERICAS,EQUIPOS Y SISTEMAS DE LAS AMERICAS S.A.B. DE C.V.,4841,Transporte de carga general y logística multimodal,11 a 30 personas,Circuito,Constitución,593,,Parque Industrial,26555,26,Sonora,016,Guaymas,9542298684,contacto@equiposysistemasde.mx,https://www.equiposysistemasde.mx,23.949671,-95.988326,2024-01-15,EQD051228U30,Carlos Vega,Socio Fundador,cvega@equiposysistemasde.mx,+529567287867
9,2632610000009,CORPORATIVO CENTRAL,CORPORATIVO CENTRAL S. DE R.L. DE C.V.,3261,Fabricación de productos de plástico y polímeros para empaque,251 y más personas,Paseo,Revolución,2692,,San Jerónimo,26490,26,Sonora,011,Guaymas,6586099637,contacto@corporativocentral.com.mx,https://www.corporativocentral.com.mx,18.233498,-96.173526,2024-01-15,COC090121RZG,Fernando Martínez,Director Comercial,fmartínez@corporativocentral.com.mx,+526592661767
10,2554160000010,TRANSFORMADORA DEL NORTE,TRANSFORMADORA DEL NORTE S.A.S.,5416,Servicios de consultoría en administración y gestión empresarial,6 a 10 personas,Calzada,5 de Mayo,1249,,Polanco,25104,25,Sinaloa,017,Culiacán,4859133197,contacto@transformadoradeln.com,https://www.transformadoradeln.com,20.775703,-99.220013,2024-01-15,TRD100427UOR,Hector Morales,Director de Finanzas,hmorales@transformadoradeln.com,+524854914533
