company_id,legal_name,trade_name,rfc,rfc_type,industry,industry_code,employee_count_min,employee_count_max,website,domain,company_phone,company_email,street,number,colony,municipality,state,postal_code,country,latitude,longitude,executive_name,executive_title,standardized_title,seniority_level,department,executive_work_email,email_status,executive_phone,all_sources_combined,source_count,data_quality_score,last_verified_at
mx_899f29b3-fbbb-8e57-9923-7adea4d9372f,TECNOLOGIAS DE MEXICO SA DE CV,TECNOLOGIAS DE MEXICO,TME150115AB1,MORAL,Servicios Profesionales,541510,25,25,https://tec-mexico.com.mx,tec-mexico.com.mx,+525555123456,contacto@tec-mexico.com.mx,Av. Insurgentes Sur,1602 Int Piso 4,Credito Constructor,Benito Juarez,Ciudad de México,03940,Mexico,,,Carlos Gonzalez Rodriguez,Chief Executive Officer (CEO),Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,carlos.gonzalez@tec-mexico.com.mx,VERIFIED,5512345678,SAT;SIEM;SUPPLIER_REGISTRY,3,96,2026-09-06T14:49:28.002172+00:00
mx_f36da3f1-76e9-d7cb-f6f2-503d4d3345b5,CONSTRUCCIONES DEL SURESTE SA DE CV,CONSTRUCCIONES SURESTE,CSO120405H89,MORAL,,,,,https://consureste.com.mx,consureste.com.mx,+529999123456,contacto@consureste.com.mx,Calle 60,305,Centro,Merida,Yucatán,97000,Mexico,,,Jorge Luis Hernandez Medina,Representante Legal y Administrador Unico,Sole Administrator / Owner,FOUNDER,EXECUTIVE,jorge.hernandez@consureste.com.mx,VERIFIED,9991234567,SAT;SUPPLIER_REGISTRY,2,81,2026-09-06T14:49:28.002172+00:00
mx_ebe698f7-6709-37b3-a0fb-dcbf57c7c033,ALIMENTOS Y BEBIDAS DEL CENTRO 66 S.A.B. DE C.V.,ALIMENTOS Y BEBIDAS DEL CENTRO 66,ALD220618R0T,MORAL,Fabricación de productos farmacéuticos y medicamentos,3254,251,,https://www.alimentosybebidasd.mx,alimentosybebidasd.mx,+528160695219,contacto@alimentosybebidasd.mx,Calzada Félix U. Gómez,3135,Parque Industrial FINSA,Apodaca,Nuevo León,19686,Mexico,16.720283,-97.451501,Mariana Garza,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,mgarza@alimentosybebidasd.mx,VERIFIED,+528177936218,DENUE;DENUE,1,100,2026-09-06T14:49:28.002172+00:00
mx_7102a20f-9d51-e4ad-e9b9-d21e770f9804,ALIMENTOS Y BEBIDAS EMPRESARIAL S.A.B. DE C.V.,ALIMENTOS Y BEBIDAS EMPRESARIAL,ALE001222E9U,MORAL,Servicios de consultoría en administración y gestión empresarial,5416,6,10,https://www.alimentosybebidase.mx,alimentosybebidase.mx,+528174085100,contacto@alimentosybebidase.mx,Boulevard Cuauhtémoc,3494 Int Piso 1,Parque Industrial FINSA,Guadalupe,Nuevo León,19618,Mexico,16.962609,-97.680369,Patricia González,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,pgonzález@alimentosybebidase.mx,VERIFIED,+528122546895,DENUE,1,97,2026-09-06T14:49:23.969252+00:00
mx_1a0bf783-90e4-ad7e-b593-22056edb9766,SERVICIOS INTEGRALES DEL PACIFICO S.A.B. DE C.V.,SERVICIOS INTEGRALES DEL PACIFICO,SED180302TBA,MORAL,Transporte de carga general y logística multimodal,4841,51,100,https://www.serviciosintegrale.com,serviciosintegrale.com,+526560377043,contacto@serviciosintegrale.com,Calzada Morones Prieto,608 Int Piso 15,Parque Industrial CIVAC,Coatzacoalcos,Veracruz,30446,Mexico,24.550941,-101.457651,Miguel Morales,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,mmorales@serviciosintegrale.com,VERIFIED,+526563987883,DENUE,1,97,2026-09-06T14:49:23.969252+00:00
mx_9f6bd04e-0e3a-b02a-d6bc-8bd63be1315c,QUIMICA LATINOAMERICANA 15 S.A.B. DE C.V.,QUIMICA LATINOAMERICANA 15,QUL0007236II,MORAL,Instalaciones eléctricas y electromecánicas en construcciones,2382,251,,https://www.quimicalatinoameri.mx,quimicalatinoameri.mx,+524799107853,contacto@quimicalatinoameri.mx,Carretera Patriotismo,3179,Santa María la Ribera,Torreón,Coahuila,05887,Mexico,20.083752,-101.999479,Luis Ruiz,Director de Finanzas,Chief Financial Officer (CFO),C_SUITE,FINANCE,lruiz@quimicalatinoameri.mx,VERIFIED,+524722441308,DENUE,1,97,2026-09-06T14:49:23.969252+00:00
mx_431ee695-dc3e-6924-a2e6-2fb53eca06b6,QUIMICA CENTRAL S.C.,QUIMICA CENTRAL,QUC090409SEO,MORAL,Fabricación de equipo de transporte y autopartes,3363,31,50,https://www.quimicacentral.mx,quimicacentral.mx,+529843286206,contacto@quimicacentral.mx,Calzada Reforma,1466 Int Piso 7,Del Valle,Toluca,México,15775,Mexico,17.818465,-99.332947,Hector Salinas,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,hsalinas@quimicacentral.mx,VERIFIED,+529855242237,DENUE,1,97,2026-09-06T14:49:23.969252+00:00
mx_a12fd4ec-8d33-82be-01ad-c16e0fd5f505,FARMACEUTICA ESTRATEGICA S.A. DE C.V.,FARMACEUTICA ESTRATEGICA,FAE2109255FS,MORAL,Fabricación de estructuras metálicas y pailería industrial,3323,0,5,https://www.farmaceuticaestrat.com,farmaceuticaestrat.com,+525962696799,contacto@farmaceuticaestrat.com,Boulevard Hidalgo,3467,Santa Fe,Tehuacán,Puebla,21327,Mexico,23.83178,-95.409552,Daniel Morales,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,dmorales@farmaceuticaestrat.com,VERIFIED,+525982711808,DENUE;DENUE,1,100,2026-09-06T14:49:28.008470+00:00
mx_c1b978dc-ef28-c4fc-acd8-f4e4874c583c,TRANSPORTES MODERNA S.A.P.I. DE C.V.,TRANSPORTES MODERNA,TRM060228P3J,MORAL,Fabricación de productos químicos básicos y resinas sintéticas,3251,11,30,https://www.transportesmoderna.mx,transportesmoderna.mx,+525562614047,contacto@transportesmoderna.mx,Paseo Adolfo López Mateos,3209 Int Piso 2,Centro,Coyoacán,Ciudad de México,09576,Mexico,20.320457,-97.58596,Eduardo Dominguez,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,edominguez@transportesmoderna.mx,VERIFIED,+525590688054,DENUE,1,97,2026-09-06T14:49:23.969252+00:00
mx_832153b0-5342-1191-cdb3-b06517c7a6a2,CONSULTORES LATINOAMERICANA S.C.,CONSULTORES LATINOAMERICANA,COL120622QZE,MORAL,Comercio al por mayor de maquinaria y equipo industrial,4659,6,10,https://www.consultoreslatinoa.mx,consultoreslatinoa.mx,+524110182367,contacto@consultoreslatinoa.mx,Av. Constitución,2205 Int Piso 1,Industrial Vallejo,Boca del Río,Veracruz,30261,Mexico,18.203329,-95.55665,Javier Hernández,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,jhernández@consultoreslatinoa.mx,VERIFIED,+524144846241,DENUE,1,97,2026-09-06T14:49:23.969252+00:00
