person_id,full_name,first_name,last_name,title,standardized_title,seniority_level,department,company_name,company_domain,company_id,work_email,email_status,email_confidence_score,mail_provider,direct_phone,phone_extension,sources,created_at
per_50c2f312-ed55-4213-b786-b488c199521d,Carlos Gonzalez Rodriguez,Carlos,Gonzalez Rodriguez,Chief Executive Officer (CEO),Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,TECNOLOGIAS DE MEXICO SA DE CV,tec-mexico.com.mx,mx_899f29b3-fbbb-8e57-9923-7adea4d9372f,carlos.gonzalez@tec-mexico.com.mx,VERIFIED,85,CUSTOM_SMTP,5512345678,,SIEM,2026-09-06T14:49:28.011512+00:00
per_4f52775e-edd5-095e-f9e0-68677b5a83a3,Jorge Luis Hernandez Medina,Jorge Luis,Hernandez Medina,Representante Legal y Administrador Unico,Sole Administrator / Owner,FOUNDER,EXECUTIVE,CONSTRUCCIONES DEL SURESTE SA DE CV,consureste.com.mx,mx_f36da3f1-76e9-d7cb-f6f2-503d4d3345b5,jorge.hernandez@consureste.com.mx,VERIFIED,85,CUSTOM_SMTP,9991234567,,SUPPLIER_REGISTRY,2026-09-06T14:49:28.011512+00:00
per_0a39ab62-fce3-521b-3baa-fe2b25b50ccf,Mariana Garza,Mariana,Garza,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,ALIMENTOS Y BEBIDAS DEL CENTRO 66 S.A.B. DE C.V.,alimentosybebidasd.mx,mx_ebe698f7-6709-37b3-a0fb-dcbf57c7c033,mgarza@alimentosybebidasd.mx,VERIFIED,85,CUSTOM_SMTP,+528177936218,,DENUE,2026-09-06T14:49:28.011512+00:00
per_566fa143-4dc5-a74b-3506-35def1fcd464,Daniel Navarro,Daniel,Navarro,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,ALIMENTOS Y BEBIDAS DEL CENTRO 66 S.A.B. DE C.V.,alimentosybebidasd.mx,mx_ebe698f7-6709-37b3-a0fb-dcbf57c7c033,dnavarro@alimentosybebidasd.mx,VERIFIED,85,CUSTOM_SMTP,+528140622342,,DENUE,2026-09-06T14:49:28.011512+00:00
per_fdda9dcb-4e7c-27b4-b7d6-5408a2a3bf5d,Patricia González,Patricia,González,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,ALIMENTOS Y BEBIDAS EMPRESARIAL S.A.B. DE C.V.,alimentosybebidase.mx,mx_7102a20f-9d51-e4ad-e9b9-d21e770f9804,pgonzález@alimentosybebidase.mx,VERIFIED,85,CUSTOM_SMTP,+528122546895,,DENUE,2026-09-06T14:49:28.011512+00:00
per_867b5346-2341-4f55-2f54-6eec446cdb97,Miguel Morales,Miguel,Morales,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,SERVICIOS INTEGRALES DEL PACIFICO S.A.B. DE C.V.,serviciosintegrale.com,mx_1a0bf783-90e4-ad7e-b593-22056edb9766,mmorales@serviciosintegrale.com,VERIFIED,85,CUSTOM_SMTP,+526563987883,,DENUE,2026-09-06T14:49:28.011512+00:00
per_42a658e5-d75e-97ee-3846-f78bfd6a753e,Luis Ruiz,Luis,Ruiz,Director de Finanzas,Chief Financial Officer (CFO),C_SUITE,FINANCE,QUIMICA LATINOAMERICANA 15 S.A.B. DE C.V.,quimicalatinoameri.mx,mx_9f6bd04e-0e3a-b02a-d6bc-8bd63be1315c,lruiz@quimicalatinoameri.mx,VERIFIED,85,CUSTOM_SMTP,+524722441308,,DENUE,2026-09-06T14:49:28.011512+00:00
per_9247d5dd-a983-4324-92ed-d3ba8620d5d1,Hector Salinas,Hector,Salinas,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,QUIMICA CENTRAL S.C.,quimicacentral.mx,mx_431ee695-dc3e-6924-a2e6-2fb53eca06b6,hsalinas@quimicacentral.mx,VERIFIED,85,CUSTOM_SMTP,+529855242237,,DENUE,2026-09-06T14:49:28.011512+00:00
per_8b609bd8-030f-0851-1a58-67ad57603c3c,Daniel Morales,Daniel,Morales,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,FARMACEUTICA ESTRATEGICA S.A. DE C.V.,farmaceuticaestrat.com,mx_a12fd4ec-8d33-82be-01ad-c16e0fd5f505,dmorales@farmaceuticaestrat.com,VERIFIED,85,CUSTOM_SMTP,+525982711808,,DENUE,2026-09-06T14:49:28.011512+00:00
per_3cc59d95-2f9c-6850-2867-bf7109b99795,Andrea López,Andrea,López,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,FARMACEUTICA ESTRATEGICA S.A. DE C.V.,farmaceuticaestrat.com,mx_a12fd4ec-8d33-82be-01ad-c16e0fd5f505,alópez@farmaceuticaestrat.com,VERIFIED,85,CUSTOM_SMTP,+524927867341,,DENUE,2026-09-06T14:49:28.011512+00:00
